PN                                                                                                  ; CFF  ; MATR ;SN                                                 ;UNIDADE   ;STATUS               ;PJ ;SN CJM                                             ;MATR ;DIRETIVA TÉCNICA                         ;CFF   ;FADT             ;NAT ;ORDEM      ;CLA ;CAT ;TIPO INCORPORAÇÃO ;PRAZO INCORPORAÇÃO ;TAREFA       ;HORAS     ;RESCISÃO            ;OBJETIVO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;B.O. N°: 314-002/24 ;001JK ;LST234A240002100 ;BSC ;0 ;I ;R ;One-Time ; ;30400021697 ;0:00 ; ;FORNECER INFORMAÇÕES OPERACIONAIS SOBRE A REMOÇÃO DOS ALERTAS DE MISCOMPARE DE ATITUDE E PROA APÓS APLICAÇÃO DO BS314-42-0028 QUE REINSTALA A VERSÃO DE OFP 03.06.006.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BO 314-001-24 ;001JK ;LST200A240001500 ;BSC ;0 ;I ;R ;One-Time ; ;30400021686 ;0:00 ; ;ORIENTAR AOS PILOTOS QUE A ENTRADA DE DADOS DE DECLINAÇÃO MAGNÉTICA, NO SUBFORMATO NAV MISC NO UFCP, DEVE SER SOMENTE NO MODO MANUAL (MAN). O MODO AUTO NÃO DEVE SER UTILIZADO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BO 314-001/16 ;001JK ;LST200A240000900 ;BSC ;0 ;I ;R ;One-Time ; ;30400021668 ;0:00 ; ;PROVER INFORMAÇÕES AOS PILOTOS DAS AERONAVES PÓS-MOD BS314-27-0034 E PÓS-MOD BS314-42-0016 QUE TRATAM DA SUBSTITUIÇÃO DO ATUADOR DO COMPENSADOR DO PROFUNDOR E DA ATUALIZAÇÃO DA OFP RESPECTIVAMENTE.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BO 314-001/19 ;001JK ;LST295A190002200 ;BSC ;0 ;I ;R ;One-Time ; ;30400019125 ;0:00 ; ;ATUALIZAR O LIMITE MÍNIMO E MÁXIMO DO PESO EQUIPADO DO PILOTO DE ACORDO COM O DOCUMENTO MARTIN-BAKER MB527A-SECTION 1 - CHAPTER 20.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BO 314-001/23 ;001JK ;LST234A240001300 ;BSC ;0 ;I ;R ;One-Time ; ;30400021683 ;0:00 ; ;O OBJETIVO DESTE BOLETIM OPERACIONAL É INFORMAR OS PILOTOS SOBRE PEQUENOS ITENS COM BAIXA PROBABILIDADE DE OCORRÊNCIA APÓS A INSTALAÇÃO DO SOFTWARE DO OFP VERSÃO 03.06.007.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BO 314-003/14 ;001JK ;LST234A240000800 ;BSC ;0 ;I ;R ;One-Time ; ;30400021663 ;0:00 ; ;PROVER INFORMAÇÕES AOS PILOTOS SOBRE ALERTA SONORO DE ESTOL QUANDO ESTIVER OPERANDO EM REGIÕES COM ALTA INTENSIDADE DE VENTO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-24-0004 ;001JK ;LST224A170006300 ;BSC ;0 ;O ;R ;One-Time ; ;30400018895 ;1:24 ; ;REPOSICIONAR O CABO POSITIVO (W104) DA BATERIA PRINCIPAL USANDO BRAÇADEIRAS TIPO PRESILHA PARA SEPARÁ-LO DO CONJUNTO PORCA/PARAFUSO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0011 ;001JK ;LST227A060000300 ;BSC ;0 ;M ;I ;Repetitiva ;PARA AERONAVES COM MENOS DE 200 HORAS DE VÔO, A QUALQUER TEMPO ATÉ QUE A AERONAVE ATINJA 200 HORAS. PARA AERONAVES COM MAIS DE 200 HORAS, EXECUTAR A INSPEÇÃO IMEDIATAMENTE. ;30400013247 ;13:50 ; ;INSPECIONAR A HASTE DE CONEXÃO DA SUPERFÍCIE DO PROFUNDOR, INVERTER A DIREÇÃO DE MONTAGEM DE ALGUNS PARAFUSOS DE FIXAÇÃO DA MASSA DE BALANCEAMENTO E SUBSTITUIR OUTROS PARAFUSOS DE MENOR DIMENSÃO, ATÉ QUE SEJA IMPLEMANTADA UMA SOLUÇÃO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0016 ;001JK ;LST227A160000700 ;REV ;2 ;R ;R ;One-Time ; ;30400017821 ;12:00 ; ;SUBSTITUIR OS COMPONENTES DO MECANISMO DE ARTICULAÇÃO DA COMPENSAÇÃO DO LEME POR OUTROS COM BUCHAS DE DIFERENTE MATERIAL E TOLERÂNCIAS DIMENSIONAIS.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0022 ;001JK ;LST227A160007801 ;BSC ;0 ;R ;R ;One-Time ; ;30400018381 ;0:00 ; ;RETRABALHAR A LUVA DA VÁLVULA SOLENÓIDE DO DISTRIBUIDOR HIDRÁULICO DO FREIO AERODINÂMICO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0024 ;001JK ;LST227A100004100 ;BSC ;0 ;M ;R ;One-Time ; ;30400015815 ;5:00 ; ;INSTALAR CHAPAS NAS COLUNAS DA ESTRUTURA DOS CONSOLES DIANTEIRO E TRASEIRO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0029 ;001JK ;LST227A160000900 ;REV ;1 ;R ;R ;One-Time ; ;30400017834 ;4:30 ; ;SUBSTITUIR O PINO DA DOBRADIÇA POR OUTRO QUE PERMITA A SUA FIXAÇÃO COM A UTILIZAÇÃO DE CONTRAPINO E ARRUELAS, SUBSTITUINDO O ANEL DE RETENÇÃO E OS ARAMES DE FRENO.
ANV A-29 ;001JK ;5914 ;31400018 ;2/5 GAV ;Ativo ;T2 ;31400018 ;5914 ;BS 314-27-0035 ;001JK ;LST227A160000100 ;BSC ;0 ;R ;R ;One-Time ; ;30400017819 ;2:30 ; ;SUBSTITUIR O ATUADOR LINEAR DO COMPENSADOR DO LEME.
