DIRETIVATECNICA	ELT	ELE	MOT	CEL	HID	EST	ARM	TOD
BO31400224	1	1	0	0	0	0	0	0
BO31400124	1	0	0	0	0	0	0	0
BO31400116	1	0	0	1	0	0	0	0
BO31400119	0	0	0	0	0	0	0	1
BO31400123	1	0	0	0	0	0	0	0
BO31400314	1	1	0	0	0	0	0	0
BS314240004	0	1	0	0	0	0	0	0
BS314270011	0	0	0	1	0	0	0	0
BS314270022	0	0	0	0	1	0	0	0
BS314270024	0	0	0	0	0	1	0	0
BS31427A026	0	0	0	1	0	0	0	0
BS314280006	0	0	0	1	0	0	0	0
BS314280006	0	0	0	1	0	0	0	0
BS314280008	0	0	0	0	0	1	0	0
BS314280008	0	0	0	0	0	1	0	0
BS314280018	0	0	0	1	0	0	0	0
BS314320010	0	1	0	0	0	0	0	0
BS314320018	0	0	0	0	1	0	0	0
BS314330002	0	1	0	0	0	0	0	0
BS314530001	0	0	0	1	0	1	0	0
BS314530014	0	1	0	0	0	1	0	0
BS314530024	0	0	0	0	0	1	0	0
BS314530025	0	0	0	0	0	1	0	0
BS314530026	0	0	0	0	0	1	0	0
BS314550012	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS314550013	0	0	0	0	0	1	0	0
BS31455A003	0	0	0	0	0	1	0	0
BS314570005	0	0	0	0	0	1	0	0
BS314570007	0	0	0	0	0	1	0	0
BS314950001	0	0	0	0	0	0	0	0
BS314210007	0	0	0	1	0	0	0	0
BS314210007	0	0	0	1	0	0	0	0
BS314210009	0	0	0	1	0	0	0	0
BS314210010	0	0	0	0	0	1	0	0
BS314270047	0	0	0	1	0	0	0	0
BS314270047	0	0	0	1	0	0	0	0
BS314270047	0	0	0	1	0	0	0	0
BS314280025	0	0	0	1	0	0	0	0
BS314280029	0	0	0	0	0	1	0	0
BS314290003	0	0	0	0	1	0	0	0
BS314290004	0	0	0	0	1	0	0	0
BS314320020	0	0	0	0	1	0	0	0
BS314320027	1	0	0	0	1	0	0	0
BS314320028	0	0	0	0	1	0	0	0
BS314340005	0	1	0	0	0	0	0	0
BS314550009	0	0	0	0	0	1	0	0
BS314550010	0	0	0	0	0	1	0	0
BS314710006	0	1	1	0	0	0	0	0
BS314710007	0	0	1	0	0	1	0	0
BS314790005	0	0	1	0	0	0	0	0
BS314850004	0	0	1	0	0	0	0	0
BS314950005	0	1	0	0	0	0	0	0
BS314950006	0	0	0	0	0	0	0	0
BS314950009	0	0	0	0	0	0	0	0
BS314950009	0	0	0	0	0	0	0	0
BS31495A007	0	0	0	0	0	0	0	0
BS31495A007	0	0	0	0	0	0	0	0
BS31495A007	0	0	0	0	0	0	0	0
BS31495A007	0	0	0	0	0	0	0	0
BTLS04367A29001	0	0	0	0	0	0	0	1
BTLS13451A29005	0	0	0	0	0	0	0	1
BTLS18487A29010	0	0	0	0	0	1	0	0
BTLS18487A29010	0	0	0	0	0	1	0	0
BTLS19496A29014	0	0	0	0	0	0	0	1
BTLS20504A29016	0	1	0	0	0	0	0	0
ETDCC262943	0	0	0	0	0	1	0	0
ETDGTN01372014	0	0	0	0	1	0	0	0
ETDGTN03192010	0	0	0	0	0	1	0	0
ETD2020314161356	0	0	0	1	0	0	0	0
ETD2021314201906	0	0	0	1	0	0	0	0
ETD2022314215284	0	0	0	0	0	1	0	0
ETD2023314238421	0	0	0	0	0	0	0	0
ETDGPO06192014	0	0	0	0	0	1	0	0
ETDGPO06192014	0	0	0	0	0	1	0	0
ETDGPO09382016	0	0	1	0	0	0	0	0
ETDGPO09422014	0	0	0	1	0	0	0	0
ETDGPO14612015	0	0	0	0	0	1	0	0
ETDGPO18542016	1	0	0	0	0	0	0	0
ETDGTN06412013	0	0	0	0	0	1	0	0
ETDGTN06412013	0	0	0	0	0	1	0	0
ETDGTN06412013	0	0	0	0	0	1	0	0
ETDGTN06412013	0	0	0	0	0	1	0	0
ETDGTN17612014	0	1	0	0	0	0	0	0
ETDGPO00022018	0	0	0	0	0	1	0	0
ETDGPO00022018	0	0	0	0	0	1	0	0
ETDGPO00022018	0	0	0	0	0	1	0	0
ETDGPO11702015	0	0	0	1	0	0	0	0
ETDGPO11702015	0	0	0	1	0	0	0	0
ETDGPO11702015	0	0	0	1	0	0	0	0
ITGTN165208	0	0	0	0	0	0	0	0
ITLS10201A29004	0	0	1	0	0	0	0	0
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14228A29009	0	0	0	0	0	0	0	1
ITLS14233A29010	1	0	0	0	0	0	0	0
ITLS19271A29016	1	0	0	0	0	0	0	0
ITLS22320A29021	0	0	0	0	0	1	0	0
ITLS23329GRL001	0	0	0	0	0	0	0	1
ITLS07182GRL003	0	0	0	0	0	0	0	1
ITLS09197A29003	0	0	1	0	0	0	0	0
IT_GTN15152009	0	0	0	0	1	0	0	0
NPO314250001	0	0	0	0	0	1	0	0
NPO314280012	0	0	0	1	0	0	0	0
NPO314530001	0	0	0	0	0	1	0	0
NPO314950008	0	0	0	0	0	0	0	0
NPO314970001	0	0	0	0	0	0	0	0
NPO314970002	0	0	0	0	0	0	0	0
